AreaPond,Populacao,RendaTrabalho,RendaTransferencias,RendaTotal,uf,Municipio,RendaPerCapita,n_agencias,areas_por_municipio
1200328001001,3320.93328480019,907095.579857907,227607.819497921,1134703.39935583,AC,1200328,273.144776502936,0,1
1200336001001,9313.28631693754,2900903.99289707,1497729.41427677,4398633.40717384,AC,1200336,311.480168672723,1,1
1200344001001,4763.70191591807,1960783.17779018,440049.472013507,2400832.64980369,AC,1200344,411.609125087814,0,1
1200351001001,7521.13951276221,1670168.77177424,555144.863169027,2225313.63494326,AC,1200351,222.063261682651,0,1
1200385001001,11209.983115957,3839284.76952834,1434834.38533281,5274119.15486116,AC,1200385,342.4880064327,1,1
1200393001001,4699.05186632264,1421047.15022198,438718.785294724,1859765.9355167,AC,1200393,302.411463130764,0,1
1200427001001,8178.68183149052,1707070.27262998,863984.431628494,2571054.70425848,AC,1200427,208.721931944732,0,1
1200435001001,2493.94431163215,840329.825224619,121448.692172085,961778.517396704,AC,1200435,336.948111192855,0,1
1200450001001,13578.8065798193,6745342.27007649,2270508.0355784,9015850.30565488,AC,1200450,496.755162570865,1,1
1200500003001,24744.4052756103,9193647.44162219,2645325.78255272,11838973.2241749,AC,1200500,371.544490126989,3,1
1200609001001,20665.8629945158,6801154.21377993,1957273.06514888,8758427.27892881,AC,1200609,329.100904984456,3,1
1200708001001,10701.0614104631,4210561.13465047,1737448.64591931,5948009.78056978,AC,1200708,393.471355143664,2,1
1200807001001,9698.8242647672,3295044.26631958,1278732.26997268,4573776.53629226,AC,1200807,339.736464582563,0,1
1300029001001,7790.71690198323,1773505.21158664,533069.676455585,2306574.88804222,AM,1300029,227.643390704541,0,1
1300060001001,5752.03116788841,890254.289532868,601182.415143381,1491436.70467625,AM,1300060,154.772160224522,0,1
1300086001001,6311.45538631958,1810526.79794809,503770.853956211,2314297.6519043,AM,1300086,286.86359755826,0,1
1300102001001,10088.8232478351,2719399.76184254,945620.203991368,3665019.9658339,AM,1300102,269.54578299566,0,1
1300144001001,12452.3225302025,5786311.63480095,910015.341693763,6696326.97649471,AM,1300144,464.677301825947,1,1
1300201001001,9184.93458377185,1890118.70211178,540558.751838184,2430677.45394996,AM,1300201,205.784666714043,0,1
1300300001001,19414.9855205711,5110900.05488495,1985246.64122343,7096146.69610837,AM,1300300,263.24511287787,1,1
1300409001001,16885.2156121389,4080364.97704702,992854.87337604,5073219.85042306,AM,1300409,241.653116594711,1,1
1300508001001,15380.082470235,2466304.91831677,1474935.83534924,3941240.75366601,AM,1300508,160.357067206226,1,1
1300607001001,19742.3349543829,5325689.0579123,1557783.81034727,6883472.86825957,AM,1300607,269.759836930027,1,1
1300631001001,8562.20089740238,2041704.88651354,861385.693111816,2903090.57962536,AM,1300631,238.455615673881,0,1
1300680001001,8737.05145254725,1727147.74208772,779911.046519701,2507058.78860742,AM,1300680,197.680848220732,0,1
1300706001001,19541.5429133446,6693476.53305222,1910055.47216778,8603532.00522,AM,1300706,342.525488531479,3,1
1300805001001,20961.0457905544,5424964.04186039,2018411.86073579,7443375.90259618,AM,1300805,258.811707014401,2,1
1300839001001,6727.27627372404,1954559.85551931,435344.867612793,2389904.72313211,AM,1300839,290.54252805903,0,1
1300904001001,8555.15849744615,1926525.27604951,603086.952921113,2529612.22897062,AM,1300904,225.18872989023,1,1
1301001001001,15154.4618284715,4138600.72099721,1213348.09394049,5351948.81493769,AM,1301001,273.094535974996,3,1
1301100001001,20779.3297738079,4969228.12424849,1381386.29761897,6350614.42186746,AM,1301100,239.142849088046,1,1
1301159001001,15978.2251227811,3412401.32529053,1454121.31491942,4866522.64020994,AM,1301159,213.565730803559,0,1
1301308001001,14541.545143626,4080103.70534059,1258678.79546159,5338782.50080218,AM,1301308,280.58254229806,1,1
1301407001001,18174.7589905466,5441925.55646409,1856679.42891338,7298604.98537748,AM,1301407,299.422157911125,2,1
1301506001001,9569.48972103455,2318182.50237502,974605.557339106,3292788.05971413,AM,1301506,242.247243056175,0,1
1301605001001,13553.2718003739,3387586.1965831,1075554.17986229,4463140.37644538,AM,1301605,249.946009087609,1,1
1301654001001,8069.66199837371,1634363.77049808,1018071.46947813,2652435.23997621,AM,1301654,202.531874423917,0,1
1301803001001,12273.3477027634,2456116.75410149,913124.207745667,3369240.96184716,AM,1301803,200.117915142946,0,1
1301951001001,4646.05523506266,806222.64867111,543483.135299243,1349705.78397035,AM,1301951,173.528425272851,0,1
1302009001001,5209.92630946626,2041503.12396559,535787.270323448,2577290.39428904,AM,1302009,391.848752305047,0,1
1302108001001,4319.15681159871,1707879.11959445,146831.757125344,1854710.87671979,AM,1302108,395.419567774917,0,1
1302207001001,6226.68448087941,1810983.04457034,577025.619670586,2388008.66424092,AM,1302207,290.842269289766,0,1
1302306001001,9787.41387977626,3011214.56353497,823611.11999038,3834825.68352535,AM,1302306,307.661921782734,0,1
1302405003001,23295.6083117441,6025619.09977981,2286994.21423253,8312613.31401233,AM,1302405,258.659015001643,1,1
1302553001001,13983.0737497398,3940739.1500916,1690151.81158248,5630890.96167408,AM,1302553,281.822095815302,0,1
1302801001001,9980.45100706839,1641815.47680574,532487.384715225,2174302.86152096,AM,1302801,164.503134742404,0,1
1302900003001,31119.5141577766,8365259.65192712,3974704.46634827,12339964.1182754,AM,1302900,268.810740730561,2,1
1303007001001,11484.7203569193,2304582.04827814,1043003.91771012,3347585.96598826,AM,1303007,200.665055539613,1,1
1303106001001,19142.9324666883,5157560.39571576,1567573.47650356,6725133.87221932,AM,1303106,269.423736655328,1,1
1303205001001,9389.91984242052,2767942.50932246,775722.779815498,3543665.28913796,AM,1303205,294.778076466406,1,1
1303304001001,13618.7002891378,3539543.12749763,1149478.86148611,4689021.98898374,AM,1303304,259.903151721516,1,1
1303502001001,10551.719806499,2764001.56954827,1136696.19879476,3900697.76834303,AM,1303502,261.947968694721,0,1
1303536001001,17722.9015132741,8776304.08678897,1746004.10629175,10522308.1930807,AM,1303536,495.195669863409,2,1
1303569001001,17129.1029531647,6316195.2804283,1572233.33274142,7888428.61316972,AM,1303569,368.740575481295,2,1
1303601001001,10134.0139777104,1785092.79573368,610574.348750101,2395667.14448378,AM,1303601,176.14864156098,0,1
1303700001001,14097.33475547,1730623.04546447,1182705.30551969,2913328.35098416,AM,1303700,122.762428181182,1,1
1303809001001,23449.6867561643,10802983.2756806,1871989.53041301,12674972.8060936,AM,1303809,460.6877434233,2,1
1303908001001,18671.4182962474,2969656.88062889,1683623.96720609,4653280.84783498,AM,1303908,159.0482754717,1,1
1303957001001,6407.41401382271,2310468.50278868,459260.344799936,2769728.84758861,AM,1303957,360.592978353561,0,1
1304005001001,5083.89841596976,1431260.78106201,550723.018573063,1981983.79963508,AM,1304005,281.52820216983,0,1
1304062003001,32075.2182297025,13433528.0288332,3244316.5031637,16677844.5319969,AM,1304062,418.81330105475,3,1
1304104001001,11483.7295692542,2721999.06444796,865222.92425945,3587221.9887074,AM,1304104,237.030926932976,0,1
1304237001001,9905.93363884805,2495021.01762726,663188.035456002,3158209.05308327,AM,1304237,251.871364032013,0,1
1304260001001,6796.57567890699,2159821.05212349,546064.237872558,2705885.28999604,AM,1304260,317.780769928957,0,1
1304302001001,10297.6204121558,2907506.82974545,1133508.54757356,4041015.37731901,AM,1304302,282.347446630805,1,1
1304401001001,11062.1048647675,2653680.20244312,1189206.42831452,3842886.63075764,AM,1304401,239.889264736137,0,1
1400027001001,5303.49147188548,814674.354791783,359147.992113559,1173822.34690534,RR,1400027,153.610948393239,0,1
1400050001001,9455.2253647495,2342799.24500824,821456.026577473,3164255.27158572,RR,1400050,247.778255370047,0,1
1400159001001,6302.95860891104,2750308.97897906,794158.797534663,3544467.77651373,RR,1400159,436.352060933847,0,1
1400175001001,8627.24057114442,3015224.73959697,999941.054818861,4015165.79441583,RR,1400175,349.500482191491,0,1
1400209001001,11677.4962141793,4579889.34159131,1221679.74627966,5801569.08787097,RR,1400209,392.197887080469,2,1
1400233001001,5317.19514022758,2072125.53736428,565190.362785057,2637315.90014934,RR,1400233,389.702744156874,0,1
1400282001001,5673.91779730832,1699808.16111853,483916.31096404,2183724.47208257,RR,1400282,299.582796551072,0,1
1400308001001,9729.03274809128,5119565.02631141,1159684.54797456,6279249.57428597,RR,1400308,526.215211611432,1,1
1400407001001,4638.8784314863,1286705.71226706,485860.304856575,1772566.01712363,RR,1400407,277.374311758973,0,1
1400456001001,5974.59556970371,3078227.81164793,653115.632824256,3731343.44447219,RR,1400456,515.219444686293,0,1
1400472001001,15824.009171389,5156723.77691709,1456279.92177786,6613003.69869496,RR,1400472,325.879726247938,1,1
1400506001001,4482.49117813305,2009141.80691083,367546.595357506,2376688.40226833,RR,1400506,448.219913228615,1,1
1400605001001,4824.14325123079,1692548.97328537,439759.063687658,2132308.03697303,RR,1400605,350.849650423119,0,1
1400704001001,4063.75768563851,563532.996461526,401358.056268247,964891.052729773,RR,1400704,138.672883585819,0,1
1500131001001,4655.70609491805,2122915.74528504,442288.104399558,2565203.8496846,PA,1500131,455.981477783213,0,1
1500305001001,20476.2286177337,4234246.97225592,1355785.4349844,5590032.40724031,PA,1500305,206.788420431523,1,1
1500347001001,18110.5064697493,4868102.57440826,1225809.18647524,6093911.7608835,PA,1500347,268.799913604826,0,1
1500503001001,21702.1083025645,13191779.4967318,2093328.69724363,15285108.1939754,PA,1500503,607.857048394368,4,1
1500701001001,14110.4660708094,3729153.3938835,994482.239339017,4723635.63322252,PA,1500701,264.282793719909,0,1
1500859001001,13204.7636588675,4201003.01540608,1001942.30135659,5202945.31676267,PA,1500859,318.142991721396,0,1
1500958001001,17412.4568113525,2952406.25931667,1532316.99184702,4484723.25116369,PA,1500958,169.55713322383,0,1
1501006001001,9558.379837512,1100920.43917176,1151884.51994099,2252804.95911275,PA,1501006,115.178561418033,0,1
1501105001001,13607.9683172515,2626780.98347589,1104887.96160672,3731668.94508261,PA,1501105,193.032561675338,0,1
1501204001001,23853.9319712443,4935065.00272513,3186552.83645194,8121617.83917708,PA,1501204,206.886856585082,1,1
1501253001001,2377.48886561645,1195515.14665394,204167.12883675,1399682.27549069,PA,1501253,502.847842504599,0,1
1501451001001,10636.549748027,2138088.59373639,1670509.34258583,3808597.93632221,PA,1501451,201.01335906721,0,1
1501576001001,10563.1460723607,3775688.69958878,1170082.15638064,4945770.85596942,PA,1501576,357.439788650484,1,1
1501600001001,9243.32659163428,1938231.31983398,1004246.13534592,2942477.4551799,PA,1501600,209.689801676832,0,1
1501725001001,10938.9223681874,5103194.48804191,1109820.69171369,6213015.1797556,PA,1501725,466.517113503157,0,1
1501758001001,4947.85861151982,1628400.14699495,524510.166590003,2152910.31358495,PA,1501758,329.112101789577,0,1
1501907001001,16249.5229782193,2929662.96504955,1416708.46043225,4346371.42548181,PA,1501907,180.292244207811,0,1
1501956001001,15830.1511481508,2354225.09755737,1031183.88358293,3385408.9811403,PA,1501956,148.717790217207,0,1
1502004001001,13699.7785641927,2252503.88541389,1877213.90212556,4129717.78753946,PA,1502004,164.418999537794,0,1
1502152001001,18098.920761168,11430307.1815398,1618765.23145225,13049072.4129921,PA,1502152,631.546340932329,1,1
1502509001001,12613.7002872759,1762174.88494179,2351945.38656036,4114120.27150214,PA,1502509,139.703246851313,0,1
1502608001001,7706.61217302376,1414914.49481183,1111486.25499508,2526400.74980691,PA,1502608,183.597469685136,0,1
1502756001001,18331.6177089809,5242258.89180781,1934379.93358391,7176638.82539171,PA,1502756,285.968154858452,1,1
1502764001001,7233.32758702587,3371344.21379797,688339.417273176,4059683.63107114,PA,1502764,466.084823787742,0,1
1502772001001,12603.5410323674,4319331.82400744,1427139.39513336,5746471.2191408,PA,1502772,342.707800364585,1,1
1502806001001,16274.4757020046,3669593.05061394,1499411.08467419,5169004.13528813,PA,1502806,225.481491250864,0,1
1502855001001,7431.87792530857,1375896.97861068,782636.008897625,2158532.9875083,PA,1502855,185.134496615612,0,1
1502905001001,23289.564626754,4076876.68308275,3367795.76568095,7444672.44876371,PA,1502905,175.051648599709,1,1
1502954003001,20798.0525743656,6833592.99130769,1752010.9645203,8585603.95582799,PA,1502954,328.568887249106,1,1
1503002001001,5082.92341519955,925543.697322122,507423.836211603,1432967.53353372,PA,1503002,182.088853543308,0,1
1503044001001,12038.1456691468,3760930.70333782,1095168.3327145,4856099.03605231,PA,1503044,312.417776516603,0,1
1503077001001,15904.5410086807,4013612.1336571,1647838.45008317,5661450.58374028,PA,1503077,252.356363598703,0,1
1503093001001,20470.7804104955,7009093.31251581,1788452.7464206,8797546.05893641,PA,1503093,342.395022171319,0,1
1503101001001,17217.4519638856,3836632.08009569,1529354.00979439,5365986.08989008,PA,1503101,222.833906442324,0,1
1503408001001,6877.18732994909,1695748.731083,741584.879266043,2437333.61034904,PA,1503408,246.57591101209,0,1
1503507001001,20664.2336291683,4383064.24333701,2538711.06353477,6921775.30687178,PA,1503507,212.108724765392,1,1
1503754001001,9308.78072684311,4471372.09873761,686846.365156926,5158218.46389453,PA,1503754,480.339179742822,0,1
1504000001001,15418.9146636304,2517091.13117824,1734578.15765703,4251669.28883527,PA,1504000,163.246972052804,0,1
1504059001001,18883.3950774972,7112478.87974076,2974026.40333472,10086505.2830755,PA,1504059,376.652548471886,2,1
1504109001001,5440.70522411369,898963.695162133,740039.003918658,1639002.69908079,PA,1504109,165.22925946766,0,1
1504307001001,18786.2699875272,3584665.7931134,2521322.81074001,6105988.60385341,PA,1504307,190.813066962914,1,1
1504406001001,18239.9006246959,4545790.43220178,2623467.2565339,7169257.68873568,PA,1504406,249.222324492657,0,1
1504455001001,18656.9729907912,7670077.07794725,1432489.54824068,9102566.62618792,PA,1504455,411.110477660716,1,1
1504505001001,13873.3064456739,2478962.93461247,832369.289873137,3311332.22448561,PA,1504505,178.685805313951,0,1
1504604001001,16923.9312146676,3891703.74881026,1966066.09407337,5857769.84288364,PA,1504604,229.952704217883,1,1
1504901001001,21744.8481867507,4815398.44889321,2868697.67898321,7684096.12787642,PA,1504901,221.450083603126,0,1
1504950001001,12375.2188631168,2409344.9468872,757331.953496109,3166676.9003833,PA,1504950,194.691097873672,0,1
1504976001001,9798.28887495782,3126234.09853877,1375584.10413526,4501818.20267403,PA,1504976,319.05918864351,0,1
1505007001001,9896.86377027416,2350554.57619082,1337214.26371767,3687768.83990849,PA,1505007,237.504994587361,1,1
1505031001001,17400.6209788467,14087774.9385972,1967899.77438084,16055674.712978,PA,1505031,809.613344013591,2,1
1505205001001,16529.6095854068,3141182.60356918,1701093.02605587,4842275.62962505,PA,1505205,190.033683937845,4,1
1505403001001,10992.6648625656,3132973.77772428,1370529.92803987,4503503.70576415,PA,1505403,285.005848617592,1,1
1505437001001,18640.5190334728,9812355.7298324,1570207.88608292,11382563.6159153,PA,1505437,526.399276340553,1,1
1505494001001,5092.87773281988,1434247.42042508,617535.286844593,2051782.70726967,PA,1505494,281.618270782824,0,1
1505551001001,4200.93623116913,1163324.40278525,472126.932943775,1635451.33572902,PA,1505551,276.920271760824,0,1
1505601001001,5555.73754280189,1070168.33738809,675430.51310989,1745598.85049798,PA,1505601,192.623990810116,0,1
1505635001001,8462.73190036106,2572082.32092852,681983.519365588,3254065.84029411,PA,1505635,303.930498001335,0,1
1505650001001,15573.604920703,4062554.14079842,1339767.25454702,5402321.39534544,PA,1505650,260.861512892098,0,1
1505700001001,17144.2529483222,3870448.85991513,2525520.70486287,6395969.564778,PA,1505700,225.757801846589,0,1
1505908001001,19569.9363410062,4703944.57407285,1450307.01817198,6154251.59224483,PA,1505908,240.365859760941,0,1
1506005001001,17574.8325201833,3989982.54457584,1286681.13655714,5276663.68113299,PA,1506005,227.028197281178,0,1
1506104001001,7109.30980381794,1661802.20553122,1154314.24755071,2816116.45308193,PA,1506104,233.750146130751,0,1
1506112001001,8332.04987030453,1905677.39707672,1082434.37791664,2988111.77499335,PA,1506112,228.716513551913,0,1
1506161001001,12783.7427789558,6531034.74168628,1494167.39576817,8025202.13745445,PA,1506161,510.885963102877,2,1
1506203003001,25819.0202070136,11218640.9309331,3132045.24147623,14350686.1724093,PA,1506203,434.510715007132,1,1
1506302001001,13771.9588956558,3487944.05027565,2158734.60525881,5646678.65553445,PA,1506302,253.264192603412,0,1
1506351001001,11784.6743078721,3340423.06745895,1386586.69346883,4727009.76092778,PA,1506351,283.454848236879,0,1
1506401001001,5726.65065054386,773309.230411227,455941.749182916,1229250.97959414,PA,1506401,135.036913826372,0,1
1506559001001,12862.5731682566,2697557.14659668,1423586.50148275,4121143.64807943,PA,1506559,209.721422868478,0,1
1506583001001,11885.7670197724,3247128.98554949,1116646.05502603,4363775.04057551,PA,1506583,273.194736204047,0,1
1506609001001,16496.6230317926,5387415.18380721,1896777.58989878,7284192.77370599,PA,1506609,326.576849905855,1,1
1506906001001,4023.39525008271,680853.674976969,519530.900155754,1200384.57513272,PA,1506906,169.22366127538,0,1
1507003001001,18397.1669799709,6163312.57446993,2273990.46799103,8437303.04246096,PA,1507003,335.014221547261,0,1
1507102001001,11690.632751399,2646905.41087694,1448929.7204688,4095835.13134573,PA,1507102,226.412501971733,0,1
1507151001001,15366.3857935672,5658345.62524068,3187018.96362116,8845364.58886184,PA,1507151,368.228788555433,1,1
1507201001001,18075.503963017,3463885.76104387,2000253.95315915,5464139.71420302,PA,1507201,191.634256401984,2,1
1507409001001,10729.8681240781,2720877.36517906,1372737.85111365,4093615.21629271,PA,1507409,253.579758270591,1,1
1507458001001,17442.5532297058,6446644.46519726,1661284.7947048,8107929.25990206,PA,1507458,369.592936326443,1,1
1507466001001,3556.22016463486,618966.826987303,414672.203035729,1033639.03002303,PA,1507466,174.051886084746,0,1
1507474001001,13936.9444503634,2486232.51353419,1844580.13863693,4330812.65217112,PA,1507474,178.391506286685,0,1
1507508001001,8648.21067708506,1964214.7875958,788136.363295039,2752351.15089084,PA,1507508,227.123836471784,0,1
1507706001001,14542.9461428993,2836226.44000195,1717643.14883798,4553869.58883992,PA,1507706,195.024200195279,0,1
1507755001001,3511.36865493517,1906804.63201918,217955.486677017,2124760.1186962,PA,1507755,543.037436225674,0,1
1507805001001,8181.19951010929,2186135.56241256,543954.468097286,2730090.03050985,PA,1507805,267.214552060638,0,1
1507904001001,16017.5671070421,4363912.40561641,2425010.59286867,6788922.99848508,PA,1507904,272.445395511896,2,1
1507961001001,6978.46513312089,1471689.26577599,943959.522803821,2415648.78857981,PA,1507961,210.890108025492,0,1
1507979001001,11094.828572031,4407033.89188443,1228213.19371806,5635247.08560249,PA,1507979,397.215140664195,0,1
1508035001001,17957.9386980346,2910683.06189342,2152053.75506236,5062736.81695578,PA,1508035,162.083361060364,0,1
1508050001001,11274.9146321523,4444066.94021619,861851.639995763,5305918.58021195,PA,1508050,394.155262829503,0,1
1508126003001,28492.7533694439,21848153.6650162,1526574.61384817,23374728.2788643,PA,1508126,766.796854685391,1,1
1508357001001,9297.95636551447,3277585.25417298,966334.319095696,4243919.57326867,PA,1508357,352.505983608326,0,1
1600055001001,2773.52964388749,1780916.99489947,296647.126776728,2077564.1216762,AP,1600055,642.112118334264,0,1
1600105001001,5146.16952508955,2255639.08552221,591692.899870374,2847331.98539258,AP,1600105,438.314181941559,1,1
1600154001001,6763.10883152585,3731627.78579615,687350.849134819,4418978.63493097,AP,1600154,551.762196758003,1,1
1600204001001,5590.04323917528,3079078.55626738,481286.202900401,3560364.75916778,AP,1600204,550.814801339828,0,1
1600212001001,2801.75416832126,1042944.95338319,285265.634810754,1328210.58819395,AP,1600212,372.247131877418,0,1
1600238001001,3700.06009629021,1810595.73658479,586477.987293833,2397073.72387862,AP,1600238,489.342251062394,0,1
1600253001001,2570.1087936426,644371.39112196,240665.635531142,885037.026653102,AP,1600253,250.717554336949,0,1
1600279003001,25689.38131891,13824262.6564668,3047124.44503171,16871387.1014985,AP,1600279,538.13139697104,1,1
1600402001001,9943.68260961304,4544491.17972607,1259177.79811848,5803668.97784455,AP,1600402,457.022951972813,0,1
1600501001001,13001.2695850896,10426768.8623438,1070826.84462223,11497595.706966,AP,1600501,801.980821496201,2,1
1600535001001,10659.2600659264,4651455.40380602,1170123.71758785,5821579.12139387,AP,1600535,436.376950654853,1,1
1600550001001,2140.03274811374,684290.674807715,161901.263507593,846191.938315308,AP,1600550,319.757104376491,0,1
1600709001001,7418.29323513842,2287529.88350072,825357.281629375,3112887.16513009,AP,1600709,308.363367555399,0,1
1600808001001,7726.80608351221,3196826.30739185,581094.741362946,3777921.04875479,AP,1600808,413.731918834274,0,1
1700251001001,1637.92641075946,1267371.08106629,195201.993268173,1462573.07433447,TO,1700251,773.765581128061,0,1
1700301001001,3436.87469842962,1517213.36674353,351824.305447893,1869037.67219142,TO,1700301,441.451463865348,0,1
1700350001001,4159.48961143675,1475821.26114254,534241.230743007,2010062.49188554,TO,1700350,354.808257504643,1,1
1700400001001,5101.46135759172,2050128.51387662,620906.565733421,2671035.07961004,TO,1700400,401.870830762195,0,1
1700707001001,6176.250956154,3702968.89142913,798785.003619451,4501753.89504858,TO,1700707,599.549616380064,1,1
1701002001001,6778.26813980726,2805987.78958145,867538.794019635,3673526.58360109,TO,1701002,413.968248482605,1,1
1701051001001,2206.81706761481,637436.644868734,269167.843935183,906604.488803917,TO,1701051,288.848882955982,0,1
1701101001001,2930.31127597469,934140.686509238,376778.025052437,1310918.71156168,TO,1701101,318.785479948208,0,1
1701309001001,4152.21801575985,1482552.48166022,579613.073947411,2062165.55560763,TO,1701309,357.050731930057,0,1
1701903001001,4340.46075259495,1453292.39298136,448871.634968814,1902164.02795017,TO,1701903,334.824452015262,1,1
1702000001001,6643.3709028903,2766708.51399086,890124.020589594,3656832.53458045,TO,1702000,416.461545566749,2,1
1702158001001,3376.96879287088,1482725.76766007,324610.817986587,1807336.58564665,TO,1702158,439.070023623033,0,1
1702208001001,20915.8721959473,7825787.66048487,2535039.77928962,10360827.4397745,TO,1702208,374.155454153197,3,1
1702307001001,4740.33429222843,2287601.44216758,611036.736686676,2898638.17885426,TO,1702307,482.582303513489,1,1
1702406001001,7528.40466189653,3059367.40763229,1228740.24974531,4288107.6573776,TO,1702406,406.37658906895,1,1
1702554001001,11061.0589658637,4426899.68711477,1231909.33846892,5658809.02558369,TO,1702554,400.223857478469,1,1
1702703001001,2510.8857447929,1316951.76286954,460414.033182658,1777365.7960522,TO,1702703,524.496889434594,0,1
1702901001001,6261.45688475805,2042963.24648605,918546.229631645,2961509.47611769,TO,1702901,326.276022351784,0,1
